# SYNTHETIC DATA - WORKSHOP USE ONLY. Fictional company, products, experts
# and institutions. Contains deliberately seeded adverse events, a product
# quality complaint and an off-label use. Not real data.
record_id,date,msl,contact_id,setting,country,channel,observation
OBS-001,2026-04-24,MSL-01,HCP-127,Community,FR,Congress,Says the 68% regain figure is the most important number in the trial and it is never in the slide deck.
OBS-002,2026-05-02,MSL-02,HCP-130,Community,DE,Face-to-face,Asked directly whether there is a cardiovascular outcomes trial. Said without one this will not enter cardiology practice.
OBS-003,2026-05-08,MSL-03,HCP-122,Academic,IT,Face-to-face,"Reports that a patient was hospitalised with acute pancreatitis during titration; recovered, investigation ongoing."
OBS-004,2026-04-09,MSL-02,HCP-112,Academic,US,Phone,Says the titration schedule is too fast for her older patients and she slows it routinely.
OBS-005,2026-04-26,MSL-06,HCP-103,Academic,US,Virtual,Two patients discontinued because of intractable nausea despite dose reduction.
OBS-006,2026-04-15,MSL-02,HCP-134,Academic,ES,Face-to-face,Asked about lean mass. Said the DXA sub-study was 'too small to reassure anyone'.
OBS-007,2026-05-18,MSL-03,HCP-118,Community,UK,Face-to-face,Reports that patients are asking about stopping and she has no evidence-based answer.
OBS-008,2026-04-21,MSL-06,HCP-133,Regional centre,US,Virtual,"Says supply constraints on the competitor product are driving patients to ours by default, not by choice."
OBS-009,2026-04-20,MSL-03,HCP-106,Academic,ES,Congress,"Reports a patient who became pregnant while on treatment; treatment stopped immediately, asked what data exist."
OBS-010,2026-05-06,MSL-05,HCP-114,Regional centre,JP,Phone,Notes that gallbladder events in her practice seem more frequent than the label suggests.
OBS-011,2026-04-28,MSL-07,HCP-124,Community,IT,Congress,Says the weekly injection is manageable but patients would prefer oral.
OBS-012,2026-05-03,MSL-06,HCP-119,Academic,US,Face-to-face,Asked whether there is any data in patients over 75. Said she treats many.
OBS-013,2026-06-01,MSL-07,HCP-103,Academic,US,Face-to-face,Reports using it in a patient with HFpEF off-label; symptoms improved markedly.
OBS-014,2026-05-07,MSL-05,HCP-121,Regional centre,US,Face-to-face,Says primary care cannot deliver the titration support the protocol assumes.
OBS-015,2026-04-05,MSL-02,HCP-119,Academic,US,Phone,Two pens in a recent batch would not prime; patients missed doses.
OBS-016,2026-06-12,MSL-06,HCP-108,Community,FR,Face-to-face,Asked whether weight loss translates into any hard outcome or just the number on the scale.
