# SYNTHETIC DATA - fictional training records, not clinical evidence.
access_id,hcp_id,therapeutic_area,route,status,institution_rule,contact_detail,last_checked,note
oncology-mm:ACCESS-001,oncology-mm:HCP-101,oncology-mm,institution medical office,declined,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-002,oncology-mm:HCP-104,oncology-mm,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-003,oncology-mm:HCP-106,oncology-mm,public professional enquiry route,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-004,oncology-mm:HCP-107,oncology-mm,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-005,oncology-mm:HCP-109,oncology-mm,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-006,oncology-mm:HCP-110,oncology-mm,public professional enquiry route,unverified,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-007,oncology-mm:HCP-111,oncology-mm,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-008,oncology-mm:HCP-112,oncology-mm,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-009,oncology-mm:HCP-113,oncology-mm,public professional enquiry route,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-010,oncology-mm:HCP-114,oncology-mm,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-011,oncology-mm:HCP-115,oncology-mm,existing scientific relationship,unverified,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-012,oncology-mm:HCP-116,oncology-mm,public professional enquiry route,declined,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-013,oncology-mm:HCP-117,oncology-mm,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-014,oncology-mm:HCP-118,oncology-mm,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-015,oncology-mm:HCP-119,oncology-mm,public professional enquiry route,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-016,oncology-mm:HCP-121,oncology-mm,institution medical office,unverified,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-017,oncology-mm:HCP-122,oncology-mm,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-018,oncology-mm:HCP-124,oncology-mm,public professional enquiry route,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
