# SYNTHETIC DATA - fictional training records, not clinical evidence.
event_id,hcp_id,asset_id,therapeutic_area,invited,attended,completed,pre_score,post_score,note
oncology-mm:ENG-001,oncology-mm:HCP-101,oncology-mm:ASSET-01,oncology-mm,1,0,0,,,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-002,oncology-mm:HCP-104,oncology-mm:ASSET-02,oncology-mm,1,1,1,41,51,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-003,oncology-mm:HCP-106,oncology-mm:ASSET-03,oncology-mm,1,1,1,42,52,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-004,oncology-mm:HCP-107,oncology-mm:ASSET-04,oncology-mm,1,0,0,43,,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-005,oncology-mm:HCP-109,oncology-mm:ASSET-05,oncology-mm,1,1,0,44,,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-006,oncology-mm:HCP-110,oncology-mm:ASSET-06,oncology-mm,1,1,1,45,55,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-007,oncology-mm:HCP-111,oncology-mm:ASSET-07,oncology-mm,1,0,0,46,,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-008,oncology-mm:HCP-112,oncology-mm:ASSET-08,oncology-mm,1,1,1,,57,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-009,oncology-mm:HCP-113,oncology-mm:ASSET-09,oncology-mm,1,1,0,48,,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-010,oncology-mm:HCP-114,oncology-mm:ASSET-10,oncology-mm,1,0,0,49,,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-011,oncology-mm:HCP-115,oncology-mm:ASSET-11,oncology-mm,1,1,1,50,60,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-012,oncology-mm:HCP-116,oncology-mm:ASSET-12,oncology-mm,1,1,1,51,61,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-013,oncology-mm:HCP-117,oncology-mm:ASSET-01,oncology-mm,1,0,0,52,,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-014,oncology-mm:HCP-118,oncology-mm:ASSET-02,oncology-mm,1,1,1,53,63,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-015,oncology-mm:HCP-119,oncology-mm:ASSET-03,oncology-mm,1,1,1,,64,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-016,oncology-mm:HCP-121,oncology-mm:ASSET-04,oncology-mm,1,0,0,55,,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-017,oncology-mm:HCP-122,oncology-mm:ASSET-05,oncology-mm,1,1,0,56,,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-018,oncology-mm:HCP-124,oncology-mm:ASSET-06,oncology-mm,1,1,1,57,67,Paired scores only where both observed; no causal impact claim
