# SYNTHETIC DATA - fictional training records, not clinical evidence.
enquiry_id,therapeutic_area,requester,country,date,verbatim,response_status,source_file,source_record
oncology-mm:MI-001,oncology-mm,Hospital pharmacist,UK,2026-06-03,Is NORVANTIB approved for the population in the product profile? Please send dosing and monitoring information.,open,workshop/data/oncology-mm/medical-information-enquiries.csv,MI-001
oncology-mm:MI-002,oncology-mm,Specialist physician,US,2026-06-05,Unsolicited question: what evidence exists outside the approved population? I treated one patient that way; they were admitted with severe infection two weeks later.,escalation not recorded,workshop/data/oncology-mm/medical-information-enquiries.csv,MI-002
oncology-mm:MI-003,oncology-mm,Nurse,DE,2026-06-07,The carton seal on NORVANTIB was broken when pharmacy opened the shipment. No dose was administered. What should we do with the pack?,awaiting response,workshop/data/oncology-mm/medical-information-enquiries.csv,MI-003
oncology-mm:MI-004,oncology-mm,Specialist physician,FR,2026-06-10,A patient became pregnant during exposure to NORVANTIB. Please provide any pregnancy information.,forwarded to medical information only,workshop/data/oncology-mm/medical-information-enquiries.csv,MI-004
oncology-mm:MI-005,oncology-mm,Payer adviser,US,2026-06-12,Can you provide an indirect comparison and budget impact estimate for our formulary review?,triaged,workshop/data/oncology-mm/medical-information-enquiries.csv,MI-005
oncology-mm:MI-006,oncology-mm,Patient organisation,ES,2026-06-18,Could you explain the main NVB-201 results without medical jargon?,open,workshop/data/oncology-mm/medical-information-enquiries.csv,MI-006
immunology-ad:MI-001,immunology-ad,Hospital pharmacist,UK,2026-06-03,Is DERMALYX approved for the population in the product profile? Please send dosing and monitoring information.,open,workshop/data/immunology-ad/medical-information-enquiries.csv,MI-001
immunology-ad:MI-002,immunology-ad,Specialist physician,US,2026-06-05,Unsolicited question: what evidence exists outside the approved population? I treated one patient that way; they were admitted with severe infection two weeks later.,escalation not recorded,workshop/data/immunology-ad/medical-information-enquiries.csv,MI-002
immunology-ad:MI-003,immunology-ad,Nurse,DE,2026-06-07,The carton seal on DERMALYX was broken when pharmacy opened the shipment. No dose was administered. What should we do with the pack?,awaiting response,workshop/data/immunology-ad/medical-information-enquiries.csv,MI-003
immunology-ad:MI-004,immunology-ad,Specialist physician,FR,2026-06-10,A patient became pregnant during exposure to DERMALYX. Please provide any pregnancy information.,forwarded to medical information only,workshop/data/immunology-ad/medical-information-enquiries.csv,MI-004
immunology-ad:MI-005,immunology-ad,Payer adviser,US,2026-06-12,Can you provide an indirect comparison and budget impact estimate for our formulary review?,triaged,workshop/data/immunology-ad/medical-information-enquiries.csv,MI-005
immunology-ad:MI-006,immunology-ad,Patient organisation,ES,2026-06-18,Could you explain the main NVB-330 / NVB-331 results without medical jargon?,open,workshop/data/immunology-ad/medical-information-enquiries.csv,MI-006
cardiometabolic-obesity:MI-001,cardiometabolic-obesity,Hospital pharmacist,UK,2026-06-03,Is ADIPOSYN approved for the population in the product profile? Please send dosing and monitoring information.,open,workshop/data/cardiometabolic-obesity/medical-information-enquiries.csv,MI-001
cardiometabolic-obesity:MI-002,cardiometabolic-obesity,Specialist physician,US,2026-06-05,Unsolicited question: what evidence exists outside the approved population? I treated one patient that way; they were admitted with severe infection two weeks later.,escalation not recorded,workshop/data/cardiometabolic-obesity/medical-information-enquiries.csv,MI-002
cardiometabolic-obesity:MI-003,cardiometabolic-obesity,Nurse,DE,2026-06-07,The carton seal on ADIPOSYN was broken when pharmacy opened the shipment. No dose was administered. What should we do with the pack?,awaiting response,workshop/data/cardiometabolic-obesity/medical-information-enquiries.csv,MI-003
cardiometabolic-obesity:MI-004,cardiometabolic-obesity,Specialist physician,FR,2026-06-10,A patient became pregnant during exposure to ADIPOSYN. Please provide any pregnancy information.,forwarded to medical information only,workshop/data/cardiometabolic-obesity/medical-information-enquiries.csv,MI-004
cardiometabolic-obesity:MI-005,cardiometabolic-obesity,Payer adviser,US,2026-06-12,Can you provide an indirect comparison and budget impact estimate for our formulary review?,triaged,workshop/data/cardiometabolic-obesity/medical-information-enquiries.csv,MI-005
cardiometabolic-obesity:MI-006,cardiometabolic-obesity,Patient organisation,ES,2026-06-18,Could you explain the main NVB-440 results without medical jargon?,open,workshop/data/cardiometabolic-obesity/medical-information-enquiries.csv,MI-006
