# SYNTHETIC DATA - fictional training records, not clinical evidence.
hcp_id,original_id,therapeutic_area,account_id,name,country,setting,email_permission,preferred_channel,profile_note
oncology-mm:HCP-101,HCP-101,oncology-mm,oncology-mm:ACC-01,Fictional clinician HCP-101,ES,Community,no,Virtual,Workshop identity; do not search for this person online
oncology-mm:HCP-104,HCP-104,oncology-mm,oncology-mm:ACC-02,Fictional clinician HCP-104,ES,Community,yes,Phone,Workshop identity; do not search for this person online
oncology-mm:HCP-106,HCP-106,oncology-mm,oncology-mm:ACC-03,Fictional clinician HCP-106,US,Academic,yes,Face-to-face,Workshop identity; do not search for this person online
oncology-mm:HCP-107,HCP-107,oncology-mm,oncology-mm:ACC-04,Fictional clinician HCP-107,ES,Community,yes,Virtual,Workshop identity; do not search for this person online
oncology-mm:HCP-109,HCP-109,oncology-mm,oncology-mm:ACC-05,Fictional clinician HCP-109,US,Academic,yes,Phone,Workshop identity; do not search for this person online
oncology-mm:HCP-110,HCP-110,oncology-mm,oncology-mm:ACC-06,Fictional clinician HCP-110,US,Academic,no,Face-to-face,Workshop identity; do not search for this person online
oncology-mm:HCP-111,HCP-111,oncology-mm,oncology-mm:ACC-07,Fictional clinician HCP-111,FR,Regional centre,yes,Virtual,Workshop identity; do not search for this person online
oncology-mm:HCP-112,HCP-112,oncology-mm,oncology-mm:ACC-08,Fictional clinician HCP-112,US,Community,yes,Phone,Workshop identity; do not search for this person online
oncology-mm:HCP-113,HCP-113,oncology-mm,oncology-mm:ACC-01,Fictional clinician HCP-113,FR,Academic,yes,Face-to-face,Workshop identity; do not search for this person online
oncology-mm:HCP-114,HCP-114,oncology-mm,oncology-mm:ACC-02,Fictional clinician HCP-114,DE,Academic,yes,Virtual,Workshop identity; do not search for this person online
oncology-mm:HCP-115,HCP-115,oncology-mm,oncology-mm:ACC-03,Fictional clinician HCP-115,UK,Community,no,Phone,Workshop identity; do not search for this person online
