# SYNTHETIC DATA - fictional training records, not clinical evidence.
task_id,hcp_id,therapeutic_area,source_commitment_id,task_text,owner_role,due_date,status,note
oncology-mm:TASK-001-1,oncology-mm:HCP-101,oncology-mm,oncology-mm:SCENARIO-001-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-001-2,oncology-mm:HCP-101,oncology-mm,oncology-mm:SCENARIO-001-2,Check approved material availability,MSL,2026-10-05,completed,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-002-1,oncology-mm:HCP-104,oncology-mm,oncology-mm:SCENARIO-002-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-002-2,oncology-mm:HCP-104,oncology-mm,oncology-mm:SCENARIO-002-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-003-1,oncology-mm:HCP-106,oncology-mm,oncology-mm:SCENARIO-003-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-003-2,oncology-mm:HCP-106,oncology-mm,oncology-mm:SCENARIO-003-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-004-1,oncology-mm:HCP-107,oncology-mm,oncology-mm:SCENARIO-004-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-004-2,oncology-mm:HCP-107,oncology-mm,oncology-mm:SCENARIO-004-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-005-1,oncology-mm:HCP-109,oncology-mm,oncology-mm:SCENARIO-005-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-005-2,oncology-mm:HCP-109,oncology-mm,oncology-mm:SCENARIO-005-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-006-1,oncology-mm:HCP-110,oncology-mm,oncology-mm:SCENARIO-006-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-006-2,oncology-mm:HCP-110,oncology-mm,oncology-mm:SCENARIO-006-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-007-1,oncology-mm:HCP-111,oncology-mm,oncology-mm:SCENARIO-007-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-007-2,oncology-mm:HCP-111,oncology-mm,oncology-mm:SCENARIO-007-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-008-1,oncology-mm:HCP-112,oncology-mm,oncology-mm:SCENARIO-008-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-008-2,oncology-mm:HCP-112,oncology-mm,oncology-mm:SCENARIO-008-2,Check approved material availability,MSL,2026-10-05,completed,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-009-1,oncology-mm:HCP-113,oncology-mm,oncology-mm:SCENARIO-009-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-009-2,oncology-mm:HCP-113,oncology-mm,oncology-mm:SCENARIO-009-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-010-1,oncology-mm:HCP-114,oncology-mm,oncology-mm:SCENARIO-010-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-010-2,oncology-mm:HCP-114,oncology-mm,oncology-mm:SCENARIO-010-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-011-1,oncology-mm:HCP-115,oncology-mm,oncology-mm:SCENARIO-011-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-011-2,oncology-mm:HCP-115,oncology-mm,oncology-mm:SCENARIO-011-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-012-1,oncology-mm:HCP-116,oncology-mm,oncology-mm:SCENARIO-012-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-012-2,oncology-mm:HCP-116,oncology-mm,oncology-mm:SCENARIO-012-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-013-1,oncology-mm:HCP-117,oncology-mm,oncology-mm:SCENARIO-013-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-013-2,oncology-mm:HCP-117,oncology-mm,oncology-mm:SCENARIO-013-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-014-1,oncology-mm:HCP-118,oncology-mm,oncology-mm:SCENARIO-014-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-014-2,oncology-mm:HCP-118,oncology-mm,oncology-mm:SCENARIO-014-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-015-1,oncology-mm:HCP-119,oncology-mm,oncology-mm:SCENARIO-015-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-015-2,oncology-mm:HCP-119,oncology-mm,oncology-mm:SCENARIO-015-2,Check approved material availability,MSL,2026-10-05,completed,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-016-1,oncology-mm:HCP-121,oncology-mm,oncology-mm:SCENARIO-016-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-016-2,oncology-mm:HCP-121,oncology-mm,oncology-mm:SCENARIO-016-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-017-1,oncology-mm:HCP-122,oncology-mm,oncology-mm:SCENARIO-017-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-017-2,oncology-mm:HCP-122,oncology-mm,oncology-mm:SCENARIO-017-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-018-1,oncology-mm:HCP-124,oncology-mm,oncology-mm:SCENARIO-018-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
