# SYNTHETIC DATA - fictional training records, not clinical evidence.
source_id,path,sha256,source_kind,license,note
SYN:oncology-mm:README,workshop/data/oncology-mm/README.md,a561070d693120fc7fbbd3b074146ed580e42f52e3ffa3db61de5080e599f200,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:abstract-poster-brief,workshop/data/oncology-mm/abstract-poster-brief.md,5df293d726efd0718674921aa2319e76251a0473c683dce85b5c56dee56a0e1e,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:advisory-board-transcript,workshop/data/oncology-mm/advisory-board-transcript.md,10729a68b9b62db8ca5e2638ad8f33d17a6cd463ba82f375eaf2dc49d9f3d69f,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:competitor-announcements,workshop/data/oncology-mm/competitor-announcements.md,11f9ff2492cccd461434fbf0425946d6ac180c00701fc126ac82e1427120d568,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:congress-abstracts,workshop/data/oncology-mm/congress-abstracts.md,8983cbef8c9621fbf6478106f33625588ea001004d6125abd505bb34f428152f,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:document-ingestion-challenge,workshop/data/oncology-mm/document-ingestion-challenge.md,49fa9c8455bb6e57fa5b84124d6271680c904ba8e7e11b91d4728bf0088a7652,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:evidence-landscape,workshop/data/oncology-mm/evidence-landscape.md,b44e95b4664bb7fea7caeaf55847862f2318d63e1a46f0007f6c6b893ac547aa,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:field-account-plan,workshop/data/oncology-mm/field-account-plan.csv,3c111a14b91b250b6e7bc048ebe037074b6d9696704b02e9ab2562a533efb6d3,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:field-observations,workshop/data/oncology-mm/field-observations.csv,081d562ff2112deb2f9f807c8f6184c58928046db5636f29317811ae05627769,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:guideline-landscape,workshop/data/oncology-mm/guideline-landscape.md,717be070ca78f7ee26da7055d02c88129a5d4cd9ba599d380d067216f9d418e1,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:iis-proposal,workshop/data/oncology-mm/iis-proposal.md,5a91d13c6057e0a561cadea34f2c844283deafaa291b8d86bde7db4b19c9e94d,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
